country,mw,hyper,value,seed,n_jobs,energy_kwh,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p95_slowdown
IT,10.0000,t4_envelope_scale,1.0000,20260523,1994,60331.3467,171.0409,62.4818,0.0000,247.5412,152.4839
IT,10.0000,t4_envelope_scale,1.0000,20260524,1994,60331.3467,171.2162,62.3524,0.0000,247.5940,157.1212
IT,10.0000,t4_envelope_scale,1.0000,20260517,1994,60331.3467,171.1580,62.3953,0.0000,247.4872,151.2749
DE,10.0000,t4_envelope_scale,1.0000,20260518,1994,60331.3467,180.3431,68.8654,0.0000,268.5486,157.1212
DE,10.0000,t4_envelope_scale,1.0000,20260519,1994,60331.3467,180.5515,68.7594,0.0000,269.0947,151.9516
IT,10.0000,t4_envelope_scale,1.0000,20260519,1994,60331.3467,171.0962,62.4410,0.0000,247.5660,151.9516
IT,10.0000,t4_envelope_scale,1.0000,20260520,1994,60331.3467,170.8234,62.6424,0.0000,247.4106,152.4839
IT,10.0000,t4_envelope_scale,1.0000,20260521,1994,60331.3467,171.1985,62.3655,0.0000,247.3437,159.1382
DE,10.0000,t4_envelope_scale,1.0000,20260521,1994,60331.3467,180.6909,68.6885,0.0000,268.7501,158.8130
DE,10.0000,t4_envelope_scale,1.0000,20260522,1994,60331.3467,180.4802,68.7957,0.0000,268.8308,154.4402
PL,10.0000,t4_envelope_scale,1.0000,20260517,1994,60331.3467,396.6279,62.4797,0.0000,578.3647,151.2749
DE,10.0000,t4_envelope_scale,1.0000,20260517,1994,60331.3467,180.8002,68.6329,0.0000,269.0555,151.9516
PL,10.0000,t4_envelope_scale,1.0000,20260518,1994,60331.3467,396.0748,62.6337,0.0000,577.5889,157.1212
PL,10.0000,t4_envelope_scale,1.0000,20260519,1994,60331.3467,396.4635,62.5255,0.0000,578.5740,151.9516
DE,10.0000,t4_envelope_scale,1.0000,20260520,1994,60331.3467,180.1708,68.9531,0.0000,268.9693,152.9736
PL,10.0000,t4_envelope_scale,1.0000,20260520,1994,60331.3467,395.7390,62.7272,0.0000,578.1612,152.4839
DE,10.0000,t4_envelope_scale,1.0000,20260523,1994,60331.3467,180.4575,68.8072,0.0000,269.1126,152.9736
DE,10.0000,t4_envelope_scale,1.0000,20260524,1994,60331.3467,180.7339,68.6666,0.0000,269.1752,157.1212
PL,10.0000,t4_envelope_scale,1.0000,20260523,1994,60331.3467,396.3167,62.5664,0.0000,578.5082,152.4839
PL,10.0000,t4_envelope_scale,1.0000,20260524,1994,60331.3467,396.7824,62.4367,0.0000,578.6485,157.1212
SE,10.0000,t4_envelope_scale,2.0000,20260519,1994,60331.3467,8.1388,44.8551,100.0000,11.3346,151.9516
SE,10.0000,t4_envelope_scale,2.0000,20260520,1994,60331.3467,8.1340,45.0019,100.0000,11.3322,152.9736
SE,10.0000,t4_envelope_scale,2.0000,20260521,1994,60331.3467,8.1407,44.7957,100.0000,11.3310,159.1382
PL,10.0000,t4_envelope_scale,1.0000,20260521,1994,60331.3467,396.7353,62.4498,0.0000,577.9836,159.1382
SE,10.0000,t4_envelope_scale,2.0000,20260523,1994,60331.3467,8.1381,44.8775,100.0000,11.3343,152.4839
SE,10.0000,t4_envelope_scale,2.0000,20260524,1994,60331.3467,8.1405,44.8015,100.0000,11.3335,157.5217
PL,10.0000,t4_envelope_scale,1.0000,20260522,1994,60331.3467,396.3237,62.5644,0.0000,578.0496,154.4402
SE,10.0000,t4_envelope_scale,2.0000,20260517,1994,60331.3467,8.1387,44.8582,100.0000,11.3331,152.4839
SE,10.0000,t4_envelope_scale,2.0000,20260518,1994,60331.3467,8.1365,44.9256,100.0000,11.3283,157.1212
CH,10.0000,t4_envelope_scale,2.0000,20260518,1994,60331.3467,21.9418,45.8771,100.0000,30.4114,168.5937
CH,10.0000,t4_envelope_scale,2.0000,20260521,1994,60331.3467,21.9362,45.9321,100.0000,30.0317,142.8628
CH,10.0000,t4_envelope_scale,2.0000,20260522,1994,60331.3467,21.9700,45.6011,100.0000,30.1490,130.3780
CH,10.0000,t4_envelope_scale,2.0000,20260523,1994,60331.3467,21.7966,47.2959,100.0000,30.2578,132.7636
SE,10.0000,t4_envelope_scale,2.0000,20260522,1994,60331.3467,8.1380,44.8800,100.0000,11.3314,154.4402
CH,10.0000,t4_envelope_scale,2.0000,20260524,1994,60331.3467,21.9416,45.8787,100.0000,30.0681,135.0842
CH,10.0000,t4_envelope_scale,2.0000,20260517,1994,60331.3467,21.8217,47.0502,100.0000,30.0432,115.1780
FR,10.0000,t4_envelope_scale,2.0000,20260517,1994,60331.3467,37.8621,52.2213,100.0000,53.3498,152.4839
CH,10.0000,t4_envelope_scale,2.0000,20260519,1994,60331.3467,22.0146,45.1654,100.0000,29.8095,126.5925
CH,10.0000,t4_envelope_scale,2.0000,20260520,1994,60331.3467,21.8245,47.0235,100.0000,30.4805,106.4799
FR,10.0000,t4_envelope_scale,2.0000,20260519,1994,60331.3467,37.8558,52.2525,100.0000,53.3598,151.9516
FR,10.0000,t4_envelope_scale,2.0000,20260520,1994,60331.3467,37.8243,52.4102,100.0000,53.3418,152.4839
FR,10.0000,t4_envelope_scale,2.0000,20260524,1994,60331.3467,37.8707,52.1782,100.0000,53.3514,157.5217
IT,10.0000,t4_envelope_scale,2.0000,20260517,1994,60331.3467,171.1580,62.3953,0.0000,247.4872,151.2749
IT,10.0000,t4_envelope_scale,2.0000,20260518,1994,60331.3467,170.9498,62.5491,0.0000,247.1951,157.1212
FR,10.0000,t4_envelope_scale,2.0000,20260518,1994,60331.3467,37.8407,52.3280,100.0000,53.3133,154.4402
IT,10.0000,t4_envelope_scale,2.0000,20260519,1994,60331.3467,171.0962,62.4410,0.0000,247.5660,151.9516
FR,10.0000,t4_envelope_scale,2.0000,20260521,1994,60331.3467,37.8718,52.1726,100.0000,53.3335,159.1382
IT,10.0000,t4_envelope_scale,2.0000,20260521,1994,60331.3467,171.1985,62.3655,0.0000,247.3437,159.1382
FR,10.0000,t4_envelope_scale,2.0000,20260522,1994,60331.3467,37.8525,52.2691,100.0000,53.3366,154.4402
FR,10.0000,t4_envelope_scale,2.0000,20260523,1994,60331.3467,37.8525,52.2690,100.0000,53.3579,152.4839
IT,10.0000,t4_envelope_scale,2.0000,20260523,1994,60331.3467,171.0409,62.4818,0.0000,247.5412,152.4839
DE,10.0000,t4_envelope_scale,2.0000,20260518,1994,60331.3467,180.3431,68.8654,0.0000,268.5486,157.1212
DE,10.0000,t4_envelope_scale,2.0000,20260519,1994,60331.3467,180.5515,68.7594,0.0000,269.0947,151.9516
IT,10.0000,t4_envelope_scale,2.0000,20260520,1994,60331.3467,170.8234,62.6424,0.0000,247.4106,152.4839
DE,10.0000,t4_envelope_scale,2.0000,20260520,1994,60331.3467,180.1708,68.9531,0.0000,268.9693,152.9736
IT,10.0000,t4_envelope_scale,2.0000,20260522,1994,60331.3467,171.0435,62.4799,0.0000,247.3686,154.4402
DE,10.0000,t4_envelope_scale,2.0000,20260521,1994,60331.3467,180.6909,68.6885,0.0000,268.7501,158.8130
DE,10.0000,t4_envelope_scale,2.0000,20260522,1994,60331.3467,180.4802,68.7957,0.0000,268.8308,154.4402
DE,10.0000,t4_envelope_scale,2.0000,20260524,1994,60331.3467,180.7339,68.6666,0.0000,269.1752,157.1212
DE,10.0000,t4_envelope_scale,2.0000,20260517,1994,60331.3467,180.8002,68.6329,0.0000,269.0555,151.9516
IT,10.0000,t4_envelope_scale,2.0000,20260524,1994,60331.3467,171.2162,62.3524,0.0000,247.5940,157.1212
PL,10.0000,t4_envelope_scale,2.0000,20260518,1994,60331.3467,396.0748,62.6337,0.0000,577.5889,157.1212
PL,10.0000,t4_envelope_scale,2.0000,20260521,1994,60331.3467,396.7353,62.4498,0.0000,577.9836,159.1382
PL,10.0000,t4_envelope_scale,2.0000,20260522,1994,60331.3467,396.3237,62.5644,0.0000,578.0496,154.4402
PL,10.0000,t4_envelope_scale,2.0000,20260523,1994,60331.3467,396.3167,62.5664,0.0000,578.5082,152.4839
DE,10.0000,t4_envelope_scale,2.0000,20260523,1994,60331.3467,180.4575,68.8072,0.0000,269.1126,152.9736
PL,10.0000,t4_envelope_scale,2.0000,20260517,1994,60331.3467,396.6279,62.4797,0.0000,578.3647,151.2749
SE,10.0000,short_job_s,1.0000,20260517,1994,60331.3467,8.1387,44.8582,100.0000,11.3331,152.4839
PL,10.0000,t4_envelope_scale,2.0000,20260519,1994,60331.3467,396.4635,62.5255,0.0000,578.5740,151.9516
SE,10.0000,short_job_s,1.0000,20260519,1994,60331.3467,8.1388,44.8551,100.0000,11.3346,151.9516
PL,10.0000,t4_envelope_scale,2.0000,20260520,1994,60331.3467,395.7390,62.7272,0.0000,578.1612,152.4839
SE,10.0000,short_job_s,1.0000,20260520,1994,60331.3467,8.1340,45.0019,100.0000,11.3322,152.9736
SE,10.0000,short_job_s,1.0000,20260521,1994,60331.3467,8.1407,44.7957,100.0000,11.3310,159.1382
SE,10.0000,short_job_s,1.0000,20260524,1994,60331.3467,8.1405,44.8015,100.0000,11.3335,157.5217
PL,10.0000,t4_envelope_scale,2.0000,20260524,1994,60331.3467,396.7824,62.4367,0.0000,578.6485,157.1212
CH,10.0000,short_job_s,1.0000,20260517,1994,60331.3467,21.8206,47.0617,100.0000,30.0453,115.1780
SE,10.0000,short_job_s,1.0000,20260518,1994,60331.3467,8.1365,44.9256,100.0000,11.3283,157.1212
CH,10.0000,short_job_s,1.0000,20260518,1994,60331.3467,21.9332,45.9605,100.0000,30.4071,170.3668
CH,10.0000,short_job_s,1.0000,20260519,1994,60331.3467,22.0158,45.1541,100.0000,29.8146,129.6639
SE,10.0000,short_job_s,1.0000,20260523,1994,60331.3467,8.1381,44.8775,100.0000,11.3343,152.4839
SE,10.0000,short_job_s,1.0000,20260522,1994,60331.3467,8.1380,44.8800,100.0000,11.3314,154.4402
CH,10.0000,short_job_s,1.0000,20260522,1994,60331.3467,21.9688,45.6134,100.0000,30.1495,138.8883
CH,10.0000,short_job_s,1.0000,20260524,1994,60331.3467,21.9350,45.9434,100.0000,30.0831,144.7184
FR,10.0000,short_job_s,1.0000,20260518,1994,60331.3467,37.8407,52.3280,100.0000,53.3133,154.4402
FR,10.0000,short_job_s,1.0000,20260519,1994,60331.3467,37.8558,52.2525,100.0000,53.3598,151.9516
FR,10.0000,short_job_s,1.0000,20260520,1994,60331.3467,37.8243,52.4102,100.0000,53.3418,152.4839
CH,10.0000,short_job_s,1.0000,20260520,1994,60331.3467,21.8245,47.0235,100.0000,30.4805,106.4799
FR,10.0000,short_job_s,1.0000,20260522,1994,60331.3467,37.8525,52.2691,100.0000,53.3366,154.4402
FR,10.0000,short_job_s,1.0000,20260521,1994,60331.3467,37.8718,52.1726,100.0000,53.3335,159.1382
CH,10.0000,short_job_s,1.0000,20260521,1994,60331.3467,21.9379,45.9154,100.0000,30.0409,150.0556
CH,10.0000,short_job_s,1.0000,20260523,1994,60331.3467,21.8057,47.2067,100.0000,30.2810,144.1793
IT,10.0000,short_job_s,1.0000,20260517,1994,60331.3467,171.1580,62.3953,0.0000,247.4872,151.2749
FR,10.0000,short_job_s,1.0000,20260517,1994,60331.3467,37.8621,52.2213,100.0000,53.3498,152.4839
FR,10.0000,short_job_s,1.0000,20260524,1994,60331.3467,37.8707,52.1782,100.0000,53.3514,157.5217
IT,10.0000,short_job_s,1.0000,20260520,1994,60331.3467,170.8234,62.6424,0.0000,247.4106,152.4839
IT,10.0000,short_job_s,1.0000,20260519,1994,60331.3467,171.0962,62.4410,0.0000,247.5660,151.9516
IT,10.0000,short_job_s,1.0000,20260521,1994,60331.3467,171.1985,62.3655,0.0000,247.3437,159.1382
FR,10.0000,short_job_s,1.0000,20260523,1994,60331.3467,37.8525,52.2690,100.0000,53.3579,152.4839
IT,10.0000,short_job_s,1.0000,20260523,1994,60331.3467,171.0409,62.4818,0.0000,247.5412,152.4839
IT,10.0000,short_job_s,1.0000,20260524,1994,60331.3467,171.2162,62.3524,0.0000,247.5940,157.1212
IT,10.0000,short_job_s,1.0000,20260518,1994,60331.3467,170.9498,62.5491,0.0000,247.1951,157.1212
DE,10.0000,short_job_s,1.0000,20260519,1994,60331.3467,180.5515,68.7594,0.0000,269.0947,151.9516
DE,10.0000,short_job_s,1.0000,20260522,1994,60331.3467,180.4802,68.7957,0.0000,268.8308,154.4402
IT,10.0000,short_job_s,1.0000,20260522,1994,60331.3467,171.0435,62.4799,0.0000,247.3686,154.4402
DE,10.0000,short_job_s,1.0000,20260524,1994,60331.3467,180.7339,68.6666,0.0000,269.1752,157.1212
PL,10.0000,short_job_s,1.0000,20260517,1994,60331.3467,396.6279,62.4797,0.0000,578.3647,151.2749
DE,10.0000,short_job_s,1.0000,20260517,1994,60331.3467,180.8002,68.6329,0.0000,269.0555,151.9516
PL,10.0000,short_job_s,1.0000,20260518,1994,60331.3467,396.0748,62.6337,0.0000,577.5889,157.1212
PL,10.0000,short_job_s,1.0000,20260519,1994,60331.3467,396.4635,62.5255,0.0000,578.5740,151.9516
DE,10.0000,short_job_s,1.0000,20260518,1994,60331.3467,180.3431,68.8654,0.0000,268.5486,157.1212
DE,10.0000,short_job_s,1.0000,20260520,1994,60331.3467,180.1708,68.9531,0.0000,268.9693,152.9736
PL,10.0000,short_job_s,1.0000,20260521,1994,60331.3467,396.7353,62.4498,0.0000,577.9836,159.1382
DE,10.0000,short_job_s,1.0000,20260521,1994,60331.3467,180.6909,68.6885,0.0000,268.7501,158.8130
DE,10.0000,short_job_s,1.0000,20260523,1994,60331.3467,180.4575,68.8072,0.0000,269.1126,152.9736
PL,10.0000,short_job_s,1.0000,20260522,1994,60331.3467,396.3237,62.5644,0.0000,578.0496,154.4402
PL,10.0000,short_job_s,1.0000,20260524,1994,60331.3467,396.7824,62.4367,0.0000,578.6485,157.1212
SE,10.0000,short_job_s,60.0000,20260517,1994,60331.3467,8.1387,44.8582,100.0000,11.3331,152.4839
SE,10.0000,short_job_s,60.0000,20260519,1994,60331.3467,8.1388,44.8551,100.0000,11.3346,151.9516
PL,10.0000,short_job_s,1.0000,20260520,1994,60331.3467,395.7390,62.7272,0.0000,578.1612,152.4839
SE,10.0000,short_job_s,60.0000,20260520,1994,60331.3467,8.1340,45.0019,100.0000,11.3322,152.9736
PL,10.0000,short_job_s,1.0000,20260523,1994,60331.3467,396.3167,62.5664,0.0000,578.5082,152.4839
SE,10.0000,short_job_s,60.0000,20260521,1994,60331.3467,8.1407,44.7957,100.0000,11.3310,159.1382
SE,10.0000,short_job_s,60.0000,20260522,1994,60331.3467,8.1380,44.8800,100.0000,11.3314,154.4402
CH,10.0000,short_job_s,60.0000,20260518,1994,60331.3467,21.9418,45.8771,100.0000,30.4114,168.5937
CH,10.0000,short_job_s,60.0000,20260521,1994,60331.3467,21.9362,45.9321,100.0000,30.0317,142.8628
SE,10.0000,short_job_s,60.0000,20260518,1994,60331.3467,8.1365,44.9256,100.0000,11.3283,157.1212
CH,10.0000,short_job_s,60.0000,20260522,1994,60331.3467,21.9700,45.6011,100.0000,30.1490,130.3780
CH,10.0000,short_job_s,60.0000,20260523,1994,60331.3467,21.7966,47.2959,100.0000,30.2578,132.7636
SE,10.0000,short_job_s,60.0000,20260523,1994,60331.3467,8.1381,44.8775,100.0000,11.3343,152.4839
SE,10.0000,short_job_s,60.0000,20260524,1994,60331.3467,8.1405,44.8015,100.0000,11.3335,157.5217
CH,10.0000,short_job_s,60.0000,20260517,1994,60331.3467,21.8217,47.0502,100.0000,30.0432,115.1780
CH,10.0000,short_job_s,60.0000,20260524,1994,60331.3467,21.9416,45.8787,100.0000,30.0681,135.0842
FR,10.0000,short_job_s,60.0000,20260518,1994,60331.3467,37.8407,52.3280,100.0000,53.3133,154.4402
FR,10.0000,short_job_s,60.0000,20260517,1994,60331.3467,37.8621,52.2213,100.0000,53.3498,152.4839
CH,10.0000,short_job_s,60.0000,20260519,1994,60331.3467,22.0146,45.1654,100.0000,29.8095,126.5925
CH,10.0000,short_job_s,60.0000,20260520,1994,60331.3467,21.8245,47.0235,100.0000,30.4805,106.4799
FR,10.0000,short_job_s,60.0000,20260521,1994,60331.3467,37.8718,52.1726,100.0000,53.3335,159.1382
FR,10.0000,short_job_s,60.0000,20260522,1994,60331.3467,37.8525,52.2691,100.0000,53.3366,154.4402
FR,10.0000,short_job_s,60.0000,20260523,1994,60331.3467,37.8525,52.2690,100.0000,53.3579,152.4839
IT,10.0000,short_job_s,60.0000,20260517,1994,60331.3467,171.1580,62.3953,0.0000,247.4872,151.2749
FR,10.0000,short_job_s,60.0000,20260519,1994,60331.3467,37.8558,52.2525,100.0000,53.3598,151.9516
IT,10.0000,short_job_s,60.0000,20260518,1994,60331.3467,170.9498,62.5491,0.0000,247.1951,157.1212
FR,10.0000,short_job_s,60.0000,20260520,1994,60331.3467,37.8243,52.4102,100.0000,53.3418,152.4839
IT,10.0000,short_job_s,60.0000,20260522,1994,60331.3467,171.0435,62.4799,0.0000,247.3686,154.4402
