t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,0.0000,237921905138
0.0101,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0705,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1007,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,0.0166,237931329736
0.1107,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1410,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1510,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1812,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.1913,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,0.0152,237940687012
0.2115,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2215,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2316,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2417,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2518,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2618,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2719,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2820,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.2921,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3021,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,0.0166,237950024573
0.3122,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3223,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3323,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3424,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3525,0,51.33,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3626,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3726,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3827,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
0.3928,0,51.30,945,877,42,0.0,0.0,273,,0x0000000000000001,,
